userId,achievementId,rep,totalCorrectGroupPredictions
32133397,18022,100,17
32133397,18023,700,17
32133397,18024,900,17
34682867,18022,100,2
31365080,18022,100,6
52268065,18022,100,7
73330108,18022,100,3
66887493,18022,100,1
16328182,18022,100,1
74373343,18022,100,1
14304232,18022,100,23
14304232,18023,700,23
14304232,18024,900,23
42625884,18022,100,22
42625884,18023,700,22
42625884,18024,900,22
20234637,18022,100,19
20234637,18023,700,19
20234637,18024,900,19
57340593,18022,100,10
57340593,18023,700,10
4172886,18022,100,10
4172886,18023,700,10
20569193,18022,100,3
35891391,18022,100,24
35891391,18023,700,24
35891391,18024,900,24
34292501,18022,100,2
38379532,18022,100,1
37525992,18022,100,14
37525992,18023,700,14
32477497,18022,100,6
25874702,18022,100,1
23289061,18022,100,8
23289061,18023,700,8
38522772,18022,100,2
11674665,18022,100,21
11674665,18023,700,21
11674665,18024,900,21
76079520,18022,100,11
76079520,18023,700,11
23801364,18022,100,9
23801364,18023,700,9
39001568,18022,100,17
39001568,18023,700,17
39001568,18024,900,17
33632761,18022,100,8
33632761,18023,700,8
76602347,18022,100,3
21310731,18022,100,2
6778579,18022,100,5
73760006,18022,100,18
73760006,18023,700,18
73760006,18024,900,18
33895557,18022,100,24
33895557,18023,700,24
33895557,18024,900,24
24067729,18022,100,14
24067729,18023,700,14
35137432,18022,100,4
68894437,18022,100,8
68894437,18023,700,8
27689383,18022,100,2
17279408,18022,100,5
76103102,18022,100,16
76103102,18023,700,16
76103102,18024,900,16
34960308,18022,100,4
26773418,18022,100,2
12767956,18022,100,22
12767956,18023,700,22
12767956,18024,900,22
67194093,18022,100,1
76520480,18022,100,3
42227877,18022,100,22
42227877,18023,700,22
42227877,18024,900,22
74662668,18022,100,3
13400926,18022,100,21
13400926,18023,700,21
13400926,18024,900,21
32122343,18022,100,2
29410593,18022,100,15
29410593,18023,700,15
38992151,18022,100,21
38992151,18023,700,21
38992151,18024,900,21
53041885,18022,100,5
38103252,18022,100,1
32002385,18022,100,15
32002385,18023,700,15
4337777,18022,100,12
4337777,18023,700,12
76760668,18022,100,1
16639584,18022,100,17
16639584,18023,700,17
16639584,18024,900,17
34374356,18022,100,1
35648269,18022,100,6
22253018,18022,100,1
48164593,18022,100,4
5566,18022,100,4
23154700,18022,100,21
23154700,18023,700,21
23154700,18024,900,21
37648048,18022,100,3
19113933,18022,100,24
19113933,18023,700,24
19113933,18024,900,24
28085661,18022,100,19
28085661,18023,700,19
28085661,18024,900,19
35839203,18022,100,26
35839203,18023,700,26
35839203,18024,900,26
63000069,18022,100,19
63000069,18023,700,19
63000069,18024,900,19
38490997,18022,100,6
31292615,18022,100,6
30996872,18022,100,21
30996872,18023,700,21
30996872,18024,900,21
5674652,18022,100,10
5674652,18023,700,10
76900662,18022,100,4
